"filename", "language", "Python", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\ashis\Desktop\pseudospeak\conversation\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ashis\Desktop\pseudospeak\conversation\admin.py", "Python", 4, 0, 0, 0, 1, 0, 5
"c:\Users\ashis\Desktop\pseudospeak\conversation\apps.py", "Python", 4, 0, 0, 0, 0, 3, 7
"c:\Users\ashis\Desktop\pseudospeak\conversation\migrations\0001_initial.py", "Python", 67, 0, 0, 0, 1, 7, 75
"c:\Users\ashis\Desktop\pseudospeak\conversation\migrations\0002_conversation_identify.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\ashis\Desktop\pseudospeak\conversation\migrations\0003_remove_conversation_members_and_more.py", "Python", 36, 0, 0, 0, 1, 6, 43
"c:\Users\ashis\Desktop\pseudospeak\conversation\migrations\0004_remove_conversation_converseuser_and_more.py", "Python", 28, 0, 0, 0, 1, 6, 35
"c:\Users\ashis\Desktop\pseudospeak\conversation\migrations\0005_alter_conversationmessage_options.py", "Python", 11, 0, 0, 0, 1, 6, 18
"c:\Users\ashis\Desktop\pseudospeak\conversation\migrations\0006_alter_conversationmessage_options.py", "Python", 11, 0, 0, 0, 1, 6, 18
"c:\Users\ashis\Desktop\pseudospeak\conversation\migrations\0007_alter_conversationmessage_options.py", "Python", 11, 0, 0, 0, 1, 6, 18
"c:\Users\ashis\Desktop\pseudospeak\conversation\migrations\0008_alter_conversationmessage_options.py", "Python", 11, 0, 0, 0, 1, 6, 18
"c:\Users\ashis\Desktop\pseudospeak\conversation\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ashis\Desktop\pseudospeak\conversation\models.py", "Python", 22, 0, 0, 0, 1, 5, 28
"c:\Users\ashis\Desktop\pseudospeak\conversation\templates\conversation\conversation.html", "HTML", 0, 481, 0, 0, 1, 60, 542
"c:\Users\ashis\Desktop\pseudospeak\conversation\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\ashis\Desktop\pseudospeak\conversation\views.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\ashis\Desktop\pseudospeak\main\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ashis\Desktop\pseudospeak\main\admin.py", "Python", 5, 0, 0, 0, 0, 1, 6
"c:\Users\ashis\Desktop\pseudospeak\main\apps.py", "Python", 4, 0, 0, 0, 0, 3, 7
"c:\Users\ashis\Desktop\pseudospeak\main\consumers.py", "Python", 329, 0, 0, 0, 16, 70, 415
"c:\Users\ashis\Desktop\pseudospeak\main\forms.py", "Python", 8, 0, 0, 0, 0, 3, 11
"c:\Users\ashis\Desktop\pseudospeak\main\migrations\0001_initial.py", "Python", 32, 0, 0, 0, 1, 7, 40
"c:\Users\ashis\Desktop\pseudospeak\main\migrations\0002_customuser_delete_userprofile.py", "Python", 75, 0, 0, 0, 1, 6, 82
"c:\Users\ashis\Desktop\pseudospeak\main\migrations\0003_delete_customuser.py", "Python", 10, 0, 0, 0, 1, 6, 17
"c:\Users\ashis\Desktop\pseudospeak\main\migrations\0004_initial.py", "Python", 128, 0, 0, 0, 1, 7, 136
"c:\Users\ashis\Desktop\pseudospeak\main\migrations\0005_alter_customuser_options.py", "Python", 11, 0, 0, 0, 1, 6, 18
"c:\Users\ashis\Desktop\pseudospeak\main\migrations\0006_delete_customuser.py", "Python", 10, 0, 0, 0, 1, 6, 17
"c:\Users\ashis\Desktop\pseudospeak\main\migrations\0007_initial.py", "Python", 34, 0, 0, 0, 1, 7, 42
"c:\Users\ashis\Desktop\pseudospeak\main\migrations\0008_alter_profile_profile_img.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\ashis\Desktop\pseudospeak\main\migrations\0009_trendingmessage.py", "Python", 33, 0, 0, 0, 1, 6, 40
